id	basisOfRecord	occurrenceID	occurrenceRemarks	recordedBy	individualCount	behavior	eventID	order	family	scientificNameAuthorship	vernacularName
T1-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_234		Martin Sindikubwabo, Toa Avalos	2		T1-3			Pycnonotus barbatus	Common Bulbul
T1-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_235		Martin Sindikubwabo, Toa Avalos	3		T1-3			Ploceus xanthops	Holub's Golden Weaver
T1-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_236		Martin Sindikubwabo, Toa Avalos	1		T1-3			streptopelia semitorquata	Red-eyed Dove
T1-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_237		Martin Sindikubwabo, Toa Avalos	1		T1-3			Balearica regulorum	Grey Crowned Crane
T1-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_238		Martin Sindikubwabo, Toa Avalos	1		T1-4			Cuculus solitalius	Red-Chested Cuckoo
T1-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_239		Martin Sindikubwabo, Toa Avalos	1		T1-4			streptopelia semitorquata	Red-eyed Dove
T1-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_240		Martin Sindikubwabo, Toa Avalos	1		T1-4			Amaurornis flavirostris	Black crake
T1-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_241		Martin Sindikubwabo, Toa Avalos	1		T1-4			Milvus migrans	Black Kite
T1-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_242		Martin Sindikubwabo, Toa Avalos	1		T1-5			Threskiornis aethiopicus	African Sacred Ibis
T1-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_243		Martin Sindikubwabo, Toa Avalos	1		T1-5			Stephanoaetus coronatus	Crowned Eagle
T1-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_244		Martin Sindikubwabo, Toa Avalos	1		T1-5			Pycnonotus barbatus	Common Bulbul
T1-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_245		Martin Sindikubwabo, Toa Avalos	2		T1-5			Streptopelia capicola	Ring-necked Dove
T1-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_246		Martin Sindikubwabo, Toa Avalos	2		T1-5			Actitis hypoleucos	Common  Sandpiper
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_247		Martin Sindikubwabo, Toa Avalos	2		T1-6			Dicrus adsimilis	Fork -tailed Drongo
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_248		Martin Sindikubwabo, Toa Avalos	1		T1-6			Terpsiphone viridis	African paradise-flycather
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_249		Martin Sindikubwabo, Toa Avalos	2		T1-6			Milvus migrans	Black Kite
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_250		Martin Sindikubwabo, Toa Avalos	1		T1-6			Vidua macroura	Pin-tailed Whydah
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_251		Martin Sindikubwabo, Toa Avalos	3		T1-6			Ploceus ocularis	Spectacled Weaver
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_252		Martin Sindikubwabo, Toa Avalos	1		T1-6			Pycnonotus barbatus	Common Bulbul
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_253		Martin Sindikubwabo, Toa Avalos	1		T1-6			Sernus mozambicus	Yellow-fronted Canary
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_254		Martin Sindikubwabo, Toa Avalos	2		T1-6			Colvus albus	Pied Crow
T1-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_255		Martin Sindikubwabo, Toa Avalos	1		T1-6			Chrysococcyx cupreus	African Emerald Cuckoo
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_256		Martin Sindikubwabo, Toa Avalos	1		T1-7			Halcyon senegalensis	woodland kingfisher
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_257		Martin Sindikubwabo, Toa Avalos	1		T1-7			Terpsiphone viridis	African paradise-flycather
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_258		Martin Sindikubwabo, Toa Avalos	2		T1-7			streptopelia semitorquata	Red-eyed Dove
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_259		Martin Sindikubwabo, Toa Avalos	1		T1-7			Turtur tympanistria	Tambourine Dove
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_260		Martin Sindikubwabo, Toa Avalos	1		T1-7			Pycnonotus barbatus	Common Bulbul
T1-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_261		Martin Sindikubwabo, Toa Avalos	4		T1-7			Sernus mozambicus	Yellow-fronted Canary
T1-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_262		Martin Sindikubwabo, Toa Avalos	2		T1-8			Pycnonotus barbatus	Common Bulbul
T1-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_263		Martin Sindikubwabo, Toa Avalos	1		T1-8			Centrepus monachus	Blue-headed Coucal
T1-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_264		Martin Sindikubwabo, Toa Avalos	1		T1-8			streptopelia semitorquata	Red-eyed Dove
T1-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_265		Martin Sindikubwabo, Toa Avalos	1		T1-8			Streptopelia capicola	Bleu -spoted Wood-Dove
T1-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_266		Martin Sindikubwabo, Toa Avalos	1		T1-8			Emberiza flaviventris	Golden-breasted Bunting
T1-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_267		Martin Sindikubwabo, Toa Avalos	1		T1-9			Euplectes axillaris	Fan-tailed Widowbird
T1-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_268		Martin Sindikubwabo, Toa Avalos	1		T1-9			Streptopelia capicola	Bleu -spoted Wood-Dove
T1-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_269		Martin Sindikubwabo, Toa Avalos	2		T1-9			Cisticola galactotes	Winding Cisticola
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_270		Martin Sindikubwabo, Toa Avalos	1		T1-10			Streptopelia capicola	Ring-necked Dove
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_271		Martin Sindikubwabo, Toa Avalos	2		T1-10			Turtur tympanistria	Tambourine Dove
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_272		Martin Sindikubwabo, Toa Avalos	1		T1-10			Halcyon senegalensis	Woodland Kingfisher
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_273		Martin Sindikubwabo, Toa Avalos	1		T1-10			Terpsiphone viridis	African paradise-flycather
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_274		Martin Sindikubwabo, Toa Avalos	2		T1-10			Trachyphonus vaillantii	Crested Barbet
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_275		Martin Sindikubwabo, Toa Avalos	1		T1-10			Turdoides jardineii	Arrow-marked Babbler
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_276		Martin Sindikubwabo, Toa Avalos	3		T1-10			Dicrus adsimilis	Fork -tailed Drongo
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_277		Martin Sindikubwabo, Toa Avalos	1		T1-10			Poicephalus meyeri	Brown Parrot
T1-10	HumanObservation	ARCOS_ILAM_2017_Rusumo_278		Martin Sindikubwabo, Toa Avalos	2		T1-10			Myrmecocichla nigra	Sooty Chat
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_279		Martin Sindikubwabo, Toa Avalos	1		T2-1			Quelea quelea	Red-billed Quelea
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_280		Martin Sindikubwabo, Toa Avalos	1		T2-1			Centrepus monachus	Blue-headed Coucal
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_281		Martin Sindikubwabo, Toa Avalos	1		T2-1			Alcedo cristata	Malachite Kingfisher
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_282		Martin Sindikubwabo, Toa Avalos	1		T2-1			Cinnyris marquensis	Marico Sunbird
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_283		Martin Sindikubwabo, Toa Avalos	2		T2-1			Nectarnia kilmensis	Bronze Sunbird
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_284		Martin Sindikubwabo, Toa Avalos	1		T2-1			Logonostica rubricata	African Firefich
T2-1	HumanObservation	ARCOS_ILAM_2017_Rusumo_285		Martin Sindikubwabo, Toa Avalos	2		T2-1			Dicrus adsimilis	Fork -tailed Drongo
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_286		Martin Sindikubwabo, Toa Avalos	1		T2-2			Vidua macroura	Pin-tailed Whydah
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_287		Martin Sindikubwabo, Toa Avalos	2		T2-2			Cinnyris venusta	Variable Sunbird
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_288		Martin Sindikubwabo, Toa Avalos	2		T2-2			Turdus pelios	African Thrush
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_289		Martin Sindikubwabo, Toa Avalos	1		T2-2			Ploceus xanthops	Holub's Golden Weaver
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_290		Martin Sindikubwabo, Toa Avalos	1		T2-2			Milvus migrans	Black Kite
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_291		Martin Sindikubwabo, Toa Avalos	1		T2-2			Lamprotornis purpuropterus	ruppell's Long-tailed Starling
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_292		Martin Sindikubwabo, Toa Avalos	1		T2-2			Casmerodius albus	Great Egret
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_293		Martin Sindikubwabo, Toa Avalos	1		T2-2			Vanellus Vidua spinosus	spur-winged Lapwing
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_294		Martin Sindikubwabo, Toa Avalos	1		T2-2			Casmerodius albus	Great Egret
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_295		Martin Sindikubwabo, Toa Avalos	8		T2-2			Turdoides jardineii	Arrow-marked Babbler
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_296		Martin Sindikubwabo, Toa Avalos	2		T2-3			Vidua chalybeata	Village Indigobird
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_297		Martin Sindikubwabo, Toa Avalos	1		T2-3			Quelea quelea	Reb-billed Quelea
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_298		Martin Sindikubwabo, Toa Avalos	1		T2-3			Logonostica rubricata	African Firefich
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_299		Martin Sindikubwabo, Toa Avalos	1		T2-3			Turtur chalcospilos	Emerald-spotted Wood Dove
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_300		Martin Sindikubwabo, Toa Avalos	1		T2-3			Casmerodius albus	Great Egret
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_301		Martin Sindikubwabo, Toa Avalos	18		T2-3			Ploceus melanocephalus	Yellow-backed Weaver
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_302		Martin Sindikubwabo, Toa Avalos	2		T2-3			Vidua macroura	Pin-tailed Whydah
