id	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	individualCount	year	continent	country	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonRemarks
urn:catalog:ARCOS:ECHUYA_2012:13	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:13	13	"MARTIN,CLAUDIEN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2384	2384	-1.247151	29.784859	Cisticola chubbi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Chubb's cisticola	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:14	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:14	14	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2396	2396	-1.245897	29.782757	Corvus albicollis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CORVIDAE	species	White-necked raven	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:15	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:15	15	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2396	2396	-1.245897	29.782757	Serinus striolatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	species	Streaky Seedeater	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:16	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:16	16	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2396	2396	-1.245897	29.782757	Accipiter rufiventris	ANIMALIA	CHORDATA	BIRDS	ACCIPITRIFORMES	ACCIPITRIDAE	species	Roufous-chested sparrowhawk	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:17	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:17	17	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2396	2396	-1.245897	29.782757	Buteo ruffofuscus	ANIMALIA	CHORDATA	BIRDS	ACCIPITRIFORMES	ACCIPITRIDAE	species	Augur buzzard	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:18	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:18	18	"MARTIN,CLAUDIEN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2411	2411	-1.244895	29.782298	Lanius mackinnoni	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	LANIIDAE	species	Mackinnon's fiscal	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:19	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:19	19	"MARTIN,CLAUDIEN,JAMES"	10	2012	Africa	Uganda	Echuya Forest	2411	2411	-1.244895	29.782298	Psalidoprocne holomelas	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	Hirundinidae	species	Black Saw-wing	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:20	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:20	20	"MARTIN,CLAUDIEN,JAMES"		2012	Africa	Uganda	Echuya Forest	2411	2411	-1.244895	29.782298	Bradypterus cinnamomeus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	cinnamon bracken warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:21	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:21	21	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Bradypterus cinnamomeus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	cinnamon bracken warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:22	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:22	22	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Andropadus latirostris	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Yellow-whiskered greenbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:23	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:23	23	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Serinus striolatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	species	Streaky Seedeater	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:24	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:24	24	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Laniarius poensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Moutain black boubou	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:25	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:25	25	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Apalis porphyrolaema	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Chestnut-throated apalis	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:26	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:26	26	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Zosterops senegalensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	ZOSTEROPIDAE	species	yellow white eye	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:27	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:27	27	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2370	2370	-1.248545	29.808635	Corvus albicollis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CORVIDAE	species	White-necked raven	Status: Least Concern
